"Date","Imported core goods index","Imported core goods trend","Imported durables index","Imported durables trend"
"Jan 2023",100.664498551111,102.894792192898,103.482559285209,102.9170256403
"Feb",100.8844824557,102.772652510069,103.602472440136,102.780076586832
"Mar",101.05669356443,102.66245741819,103.508353904217,102.656537308826
"Apr",101.041333104249,102.540593524787,103.315890094749,102.519934880518
"May",101.151210164869,102.422798458889,103.160060584097,102.38791205708
"Jun",100.97870613051,102.301219048973,102.787914530414,102.251667081524
"Jul",100.691875266513,102.183698968144,102.23537117278,102.119989727212
"Aug",100.753723847165,102.062403377607,102.082102860556,101.984101269046
"Sep",100.560195800309,101.941251769137,101.865103072251,101.848393634176
"Oct",100.654666067091,101.824145206194,101.698646813725,101.717235606171
"Nov",100.21962743666,101.703276418427,101.178481674953,101.581883082612
"Dec",100.054508388833,101.586443233286,100.95312061945,101.451068260789
"Jan 2024",99.9947845750009,101.465856605997,101.104423346189,101.316069919309
"Feb",100.116612515367,101.345413119211,100.99850365567,101.181251216668
"Mar",100.239245912467,101.232869615537,101.036524004073,101.055292911381
"Apr",100.375102112596,101.11270269238,100.896749679973,100.920821218034
"May",100.254963284822,100.996547937787,100.23682797714,100.790857696536
"Jun",100.182942545871,100.876661536648,100.140077230208,100.656737880365
"Jul",100.114490267284,100.76077793792,100.005585351236,100.527114439339
"Aug",100.072124408771,100.641171403939,99.9637505068516,100.393345579574
"Sep",100.231677885344,100.521706847057,100.166671248842,100.25975472261
"Oct",100.13873664857,100.406231007926,100.252766531915,100.130642507399
"Nov",100.141795277726,100.287045333433,100.260427345327,99.997401222693
"Dec",100,100,100,100
"Jan 2025",100.056715980474,99.947953510938,99.8638372860923,99.7388553069335
"Feb",100.28639864544,99.8887890854133,99.8967961988371,99.5984561794377
"Mar",100.137006479003,99.8060016401001,100.148988163975,99.4874124492585
"Apr",100.535410892676,99.6788526327125,100.847697427982,99.3389006368968
"May",100.595037425796,99.6010385770151,100.778708859175,99.232530532322
"Jun",100.896353420646,99.5212313532757,100.924899600966,99.1407172350642
"Jul",100.878953866204,99.4337270334523,100.898140214797,98.9796921989251
"Aug",100.864435649337,99.3522107026889,100.995752496944,98.8200939355163
"Sep",101.13102921674,99.2146257793575,101.00750607098,98.6653746094964
"Oct",101.075307293152,99.0757899567138,101.010014293053,98.5301484141807
"Nov",101.016842080001,98.9483559684822,101.022998060205,98.4263479270924
"Dec",101.317804021732,98.8130974234827,101.364715667475,98.2912442208634
"Jan 2026",101.534751562917,98.7111065722932,101.515989303994,98.1594422325821

# Figure 6. Imported PCE Core Goods & Durables Prices
# Import-content-weighted index (Dec 2024 = 100) versus local projection with 90% CIs
# Source: BEA PCE components via Haver Analytics; BEA I-O Tables; and The Budget Lab analysis 
